"Date","Price","Open","High","Low","Change %"
"03/30/2016","0.51","0.49","0.52","0.40","4.08%"
"03/29/2016","0.49","0.49","0.51","0.41","-5.77%"
"03/24/2016","0.52","0.48","0.52","0.45","6.12%"
"03/23/2016","0.49","0.52","0.53","0.47","-2.00%"
"03/22/2016","0.50","0.44","0.51","0.42","0.00%"
"03/21/2016","0.50","0.45","0.51","0.42","11.11%"
"03/18/2016","0.45","0.45","0.47","0.42","0.00%"
"03/17/2016","0.45","0.47","0.53","0.45","-13.46%"
"03/16/2016","0.52","0.53","0.53","0.49","-1.89%"
"03/15/2016","0.53","0.52","0.54","0.47","3.92%"
"03/14/2016","0.51","0.49","0.52","0.46","0.00%"
"03/11/2016","0.51","0.50","0.54","0.47","-8.93%"
"03/10/2016","0.56","0.47","0.56","0.42","9.80%"
"03/09/2016","0.51","0.52","0.53","0.46","4.08%"
"03/08/2016","0.49","0.51","0.52","0.45","-7.55%"
"03/07/2016","0.53","0.47","0.54","0.46","-1.85%"
"03/04/2016","0.54","0.47","0.54","0.46","10.20%"
"03/03/2016","0.49","0.47","0.54","0.44","-5.77%"
"03/02/2016","0.52","0.50","0.53","0.47","10.64%"
"03/01/2016","0.47","0.46","0.48","0.42","6.82%"
"02/29/2016","0.44","0.47","0.48","0.42","-8.33%"
"02/26/2016","0.48","0.48","0.49","0.47","2.13%"
"02/25/2016","0.47","0.49","0.50","0.47","-9.62%"
"02/24/2016","0.52","0.51","0.53","0.45","-3.70%"
"02/23/2016","0.54","0.48","0.57","0.48","0.00%"
"02/22/2016","0.54","0.57","0.57","0.50","-3.57%"
"02/19/2016","0.56","0.56","0.58","0.51","-5.08%"
"02/18/2016","0.59","0.54","0.64","0.52","-7.81%"
"02/17/2016","0.64","0.63","0.66","0.54","-1.54%"
"02/16/2016","0.65","0.65","0.66","0.53","3.17%"
"02/15/2016","0.63","0.69","0.69","0.57","-4.55%"
"02/12/2016","0.66","0.62","0.66","0.56","10.00%"
"02/11/2016","0.60","0.57","0.62","0.52","-3.23%"
"02/10/2016","0.62","0.61","0.65","0.61","1.64%"
